Date / Time,City,State,Shape,Duration,Summary,Posted
4/30/16 23:50,Easton,PA,Triangle,30 seconds,"Low-flying, dark triangle seen over Easton, PA",5/6/2016
4/30/16 22:30,El Paso,TX,Fireball,>4 minutes,A fireball was traveling horizontally to the left but before extinguishing a second fireball did the same and flew up into the sky,5/6/2016
4/30/16 22:30,Westport,WI,Fireball,5 minutes,Glowing orange ball over lake Mendota in Wisconsin. ((anonymous report)),5/6/2016
4/30/16 22:00,Philadelphia,PA,Light,3 minutes,Barbecuing on the deck Saturday night and was shocked seeing red flair like objects traveling at about 30 mph in no certain formation.,5/6/2016
4/30/16 21:30,Philadelphia,PA,Fireball,15 minutes,Orange orbs in groups of four or five flying in triangle or line.,5/6/2016
4/30/16 21:10,Newport Beach,CA,Fireball,1 minute,"Orange star, flickered for about 30 seconds and then it slowly got smaller and smaller until it disappeared. ((anonymous))",5/6/2016
4/30/16 21:00,Stamford,CT,Formation,20 minutes,"4 Objects over CT, April 30th.",5/6/2016
4/30/16 04:00,San Diego,CA,Light,5 seconds,"4 short 5 second bursts of light in the clouds, each spread out 15 seconds apart. ((anonymous report))",5/6/2016
4/30/16 00:34,Holland,MI,Circle,Hours,One blue two white lights on outer edges red in center very high up only one bright enough to get a photo wirh my cell i thought it was,5/6/2016
4/29/16 23:45,Pomona,NY,Fireball,20 minutes,Started with a green fireball followed by flashing lights in the sky then complete power outage and object was gone,5/6/2016
4/29/16 23:30,Everett,WA,Sphere,Seconds,"Yellow/Orange orb traveling at a high rate of speed silently East to West Snohomish County, WA.",5/6/2016
4/29/16 23:11,Hart,MI,Triangle,2 minutes,"Dark Triangle Shape, No lights but darker than the night sky blocking out the stars passing by VERY LARGE 2000ft accrosed.((anonymou))",5/6/2016
4/29/16 22:30,St. Charles,MI,Sphere,10 minutes,Large sphere with lights that was moving then disappeared into thin air.,5/6/2016
4/29/16 22:30,Lauderhill,FL,Formation,5,3 bright lights slow moving.,5/6/2016
4/29/16 22:00,Sabattus,ME,Light,5 minutes,Bright red light that changes to green and stays in one place.,5/6/2016
4/29/16 21:54,Castiac,CA,Teardrop,2 minutes,((HOAX??)) Object rocketing through the night sky!!! ((anonymous report)),5/6/2016
4/29/16 21:45,Santa Cruz,CA,Egg,4 minutes,3 slow moving orbs chased by fast walker,5/6/2016
4/29/16 21:30,Ocean Springs,MS,Light,5 minutes,"Around 7 orange lites, 3 of which were flying in a rectangular formation.",5/6/2016
4/29/16 20:00,Yorkville,IL,Triangle,3 minutes,((HOAX??)) Triangular shaped craft with blue dotted lights. ((anonymous report)),5/6/2016
4/29/16 19:30,Saipan (Northern Marianas),,Circle,10 minutes,red orange light - 3 at first then two and then just gone,5/6/2016
4/29/16 10:25,Gilford,NH,Light,3 seconds,"Meteor-like silver-gray bright object seen falling quickly to ground Rtes 11 and 11a in Gilford, NH.",4/29/2016
4/29/16 09:25,Fort Walton Beach,FL,Fireball,20,((HOAX??)) 10+ Silent Round Fireball Looking Ojects Fly overhead in a straight line. REAL!!!,5/6/2016
4/28/16 23:45,St. Petersburg,FL,Triangle,4 minutes,Triangle shaped objects that hover and move fast.,4/29/2016
4/28/16 22:40,Galt,CA,Unknown,,Erratically traveling light in the sky.,4/29/2016
4/28/16 22:00,Woonsocket,RI,Oval,Few seconds,Unexplainable logic in what I saw.,4/29/2016
4/28/16 21:15,South Myrtle Beach/ surfside beach,SC,Formation,3 minutes,"Multiple orangish points of light, turning on and off in a random pattern. ((anonymous report))",4/29/2016
4/28/16 21:10,Myrtle Beach,SC,Other,2 minutes,((HOAX??)) Orange lights looking like they are playing leap frog. ((anonymous report)),4/29/2016
4/28/16 20:35,Light,AR,Formation,30 seconds,7-8 flashing lights seen flying at different heights between Paragould and Jonesboro.,4/29/2016
4/28/16 20:34,Oak Island,NC,Circle,12 minutes,"Mostly orange-red circular objects appeared in southern sky over ocean near Oak Island, NC",4/29/2016
4/28/16 15:40,Plymouth (UK/England),,Circle,5,"ISS feed, two circular craft coming from nowhere appeared on the live feed, hope someone was recording at this time 1540 GMT..
Objec",4/29/2016
4/28/16,Camp Verde,AZ,Circle,2 minutes,"Round black object in the sky by Camp Verde, AZ with no sound, just hovering.",5/6/2016
4/27/16 23:45,Stony Point,NY,Light,30-60 seconds,Heard an insanely loud roaring noise while sitting in my house. It sounded like a plane and lasted a while.,4/29/2016
4/27/16 23:00,Mayville,MI,Circle,35 minutes,"I was sitting in my car, and I was waiting for a friend that was grabbing clothes from her house. I was just watching the sky when i no",4/29/2016
4/27/16 22:00,Cherry Grove (MCAS),SC,Circle,2-3 seconds,"3rd sighting in the past 4 weeks-1st time of reporting. Tonight, we saw one Orange light, then it disappeared. Seconds later, 2",4/29/2016
4/27/16 21:00,Alto,NM,Triangle,50 seconds,A triangle craft in the night sky being followed by a cluster of white lights.,4/29/2016
4/27/16 20:46,Oak Island,NC,Circle,3 minutes,"Red-orange circular objects seen in southern sky over ocean off of Oak Island, NC",4/29/2016
4/27/16 14:45,South Kingstown,RI,Unknown,2 minutes,"Small, gold spinning star-like object above electrical wires",4/29/2016
4/27/16 14:00,Jarrell,TX,Other,1 hour,I report earlier and watch black helicopter go slowly over the town and head back over the same area I claim in my report to this web p,4/29/2016
4/26/16 23:11,New Orleans,LA,Triangle,20-30 seconds,3 Flashing White Lights and 1 Flashing Red Light in Triangular Formation - West Riverside ((anonymous)),4/29/2016
4/26/16 23:11,New Orleans,LA,Triangle,20-30 seconds,*Addendum to West Riverside 3 White flashing Lights and 1 Red Flashing Light Triangle Pattern. ((anonymous)),4/29/2016
4/26/16 23:00,Jarrell,TX,Circle,1:00,From Jarrell to Round Rock ufo's in storm,4/29/2016
4/26/16 22:43,St. George,UT,Chevron,3 minutes,"It was a Chevron shape of 4 lights on one side and 3 on the other. It moved so slow, no noise at all. It was overcast but the craft was",4/29/2016
4/26/16 21:40,Barstow,CA,Circle,~5 seconds,Green circle illuminated by a bright green light disappeared,4/29/2016
4/26/16 21:30,Reseda,CA,Fireball,5 seconds,A LARGE BRIGHT BLUE FIRE BALL WITH AN ORANGE TRAIL OF FIRE OVER RESEDA CA.,4/29/2016
